,x,y,z
147,-1.6e-05,0.000432,-1.6e-05
148,0.000313,-0.000325,0.000313
149,-2.1e-05,0.000112,-2.1e-05
150,-0.000183,-0.000608,-0.000183
151,-0.001013,0.000128,-0.001013
152,0.000379,0.001234,0.000379
153,0.00081,0.000439,0.00081
154,-0.001344,0.000321,-0.001344
155,-0.000207,-0.000157,-0.000207
156,0.000239,5e-06,0.000239
157,-0.000632,-0.001263,-0.000632
158,0.000939,-0.002117,0.000939
159,0.001161,-0.000299,0.001161
160,0.000197,-0.000139,0.000197
161,1e-06,-0.00079,1e-06
162,-0.000722,-0.000139,-0.000722
163,-0.000191,5.1e-05,-0.000191
164,-0.000294,0.000192,-0.000294
165,-0.001652,-6.8e-05,-0.001652
166,0.000248,-0.001413,0.000248
167,-0.000502,0.000143,-0.000502
168,-0.00072,0.000731,-0.00072
169,0.001741,-0.000147,0.001741
170,-0.000885,-0.000539,-0.000885
171,0.000229,0.000704,0.000229
172,0.000446,-0.000142,0.000446
173,-0.000194,-0.000373,-0.000194
174,0.000683,0.001261,0.000683
175,0.000443,-0.000388,0.000443
176,-0.000207,-0.000301,-0.000207
177,-3.6e-05,7e-05,-3.6e-05
178,-0.001533,-0.001394,-0.001533
179,0.000445,0.00016,0.000445
180,-0.000275,0.000769,-0.000275
181,-0.00132,-0.000295,-0.00132
182,0.000539,0.000306,0.000539
183,-0.00037,-0.0005,-0.00037
184,-0.001336,0.000416,-0.001336
185,0.001142,0.000383,0.001142
186,0.000654,-0.000496,0.000654
187,-0.001374,-0.000218,-0.001374
188,0.001121,-0.000949,0.001121
189,-0.001568,0.000251,-0.001568
190,-0.00022,-0.000184,-0.00022
191,1.2e-05,-0.000482,1.2e-05
192,0.000367,0.000705,0.000367
193,0.000497,-0.000627,0.000497
194,-0.000263,-7.3e-05,-0.000263
195,0.001556,0.000775,0.001556
196,-0.001466,-0.00143,-0.001466
197,-0.000205,-3e-05,-0.000205
198,0.00074,0.001916,0.00074
199,-0.002338,0.00033,-0.002338
200,0.001522,-0.000128,0.001522
201,0.000297,0.000975,0.000297
202,-0.001783,0.00018,-0.001783
203,0.002347,6.8e-05,0.002347
204,-0.001118,-0.000738,-0.001118
205,-0.000144,-0.000637,-0.000144
206,0.001915,0.001082,0.001915
207,-0.001584,0.000106,-0.001584
208,-0.000901,0.001117,-0.000901
209,0.003184,-0.000949,0.003184
210,-0.001527,0.000692,-0.001527
211,0.000554,-0.001255,0.000554
212,0.001863,0.000848,0.001863
213,-0.000974,0.000201,-0.000974
214,0.0008,0.000178,0.0008
215,0.003034,0.001113,0.003034
216,-0.00213,-0.000437,-0.00213
217,0.000665,-0.001083,0.000665
218,0.002333,0.000966,0.002333
219,-0.003268,-0.000897,-0.003268
220,0.000553,-8.8e-05,0.000553
221,0.002982,-0.000269,0.002982
222,-0.002636,1.4e-05,-0.002636
223,-0.000388,0.000156,-0.000388
224,0.002295,-9.7e-05,0.002295
225,-0.001914,-0.001016,-0.001914
226,0.001031,0.001214,0.001031
227,0.001457,-0.000121,0.001457
228,-0.003388,-0.001142,-0.003388
229,0.00048,-0.001945,0.00048
230,0.001991,-0.000534,0.001991
231,-0.001027,-0.00136,-0.001027
232,0.000171,0.000751,0.000171
233,0.002363,0.000979,0.002363
234,-0.001524,-0.000395,-0.001524
235,0.000329,0.001569,0.000329
236,0.00241,-0.000399,0.00241
237,-0.000721,0.00045,-0.000721
238,0.000315,0.000282,0.000315
239,0.00295,-0.00071,0.00295
240,-0.001185,0.00055,-0.001185
241,0.000554,-0.001023,0.000554
242,0.001266,-0.001076,0.001266
243,-0.001312,-0.00074,-0.001312
244,0.002027,0.000938,0.002027
245,0.001262,0.000564,0.001262
246,-0.000342,-0.000622,-0.000342
247,0.000199,-2.3e-05,0.000199
248,-9.1e-05,0.000264,-9.1e-05
249,-0.000223,-0.000735,-0.000223
250,-0.001608,0.000507,-0.001608
251,0.002185,-0.00013,0.002185
252,-0.00207,0.00083,-0.00207
253,-5.2e-05,-2.8e-05,-5.2e-05
254,0.000943,-0.000872,0.000943
255,-0.00211,-0.000116,-0.00211
256,-0.000351,-0.001493,-0.000351
257,0.00052,0.000499,0.00052
258,-0.00093,-0.000144,-0.00093
259,0.001003,-0.001555,0.001003
260,0.000292,0.000475,0.000292
261,-0.000738,-0.001385,-0.000738
262,0.00075,-9.3e-05,0.00075
263,-0.000244,0.000642,-0.000244
264,-0.0005,-0.000203,-0.0005
265,0.001518,0.000968,0.001518
266,0.000962,-9.3e-05,0.000962
267,-0.002077,0.0002,-0.002077
268,-0.000458,-0.000986,-0.000458
269,1e-05,0.000379,1e-05
270,-0.001569,-0.000888,-0.001569
271,0.001687,0.000627,0.001687
272,0.00037,0.000481,0.00037
273,-0.001869,-0.001076,-0.001869
274,0.001801,-0.002623,0.001801
275,0.000198,-0.000896,0.000198
276,-0.001718,-0.001306,-0.001718
277,0.001034,0.00075,0.001034
278,-0.000323,-0.000892,-0.000323
279,-0.003195,0.00039,-0.003195
280,0.003692,0.000557,0.003692
281,-0.001506,-0.000483,-0.001506
282,-0.001471,-0.00014,-0.001471
283,0.00528,0.000626,0.00528
284,-0.002422,-0.00119,-0.002422
285,-0.00301,-0.001544,-0.00301
286,0.007578,0.00264,0.007578
287,-0.003323,0.000363,-0.003323
288,-0.00374,0.00026,-0.00374
289,0.007519,0.002176,0.007519
290,-0.004933,-0.001066,-0.004933
291,-0.002503,-0.000266,-0.002503
292,0.006824,0.001468,0.006824
293,-0.004737,0.000644,-0.004737
294,-0.002398,-0.000247,-0.002398
295,0.005801,0.001396,0.005801
296,-0.003075,-4.9e-05,-0.003075
297,-0.004084,-0.000315,-0.004084
298,0.007205,0.000823,0.007205
299,-0.003934,0.000419,-0.003934
300,-0.005534,-0.001456,-0.005534
301,0.007372,0.001853,0.007372
302,-0.00165,-0.001058,-0.00165
303,-0.005558,-0.002747,-0.005558
304,0.00807,0.000338,0.00807
305,-0.001738,3e-05,-0.001738
306,-0.006764,-0.00041,-0.006764
307,0.006514,0.000907,0.006514
308,-5.6e-05,0.000165,-5.6e-05
309,-0.005453,-0.001497,-0.005453
310,0.003331,0.000241,0.003331
311,0.001837,-0.000366,0.001837
312,-0.003893,0.000434,-0.003893
313,0.000394,0.000827,0.000394
314,-0.00121,-6.8e-05,-0.00121
315,0.000202,0.000398,0.000202
316,0.004338,0.001152,0.004338
317,-0.009032,-0.001891,-0.009032
318,0.009158,0.000993,0.009158
319,0.003772,0.000395,0.003772
320,-0.015113,-0.003128,-0.015113
321,0.013011,0.002461,0.013011
322,0.004664,0.000722,0.004664
323,-0.014516,-0.002453,-0.014516
324,0.006934,0.001885,0.006934
325,0.013308,0.001599,0.013308
326,-0.018928,-0.001881,-0.018928
327,0.001988,0.001256,0.001988
328,0.018841,0.00108,0.018841
329,-0.019254,-0.002859,-0.019254
330,-0.001748,0.000921,-0.001748
331,0.020061,0.003292,0.020061
332,-0.015875,-0.002621,-0.015875
333,-0.00496,0.000489,-0.00496
334,0.018391,0.003794,0.018391
335,-0.010647,-0.00152,-0.010647
336,-0.006481,-0.000459,-0.006481
337,0.015948,0.002933,0.015948
338,-0.008082,-0.001314,-0.008082
339,-0.006719,-0.003851,-0.006719
340,0.011517,0.001502,0.011517
341,-0.004803,-0.001661,-0.004803
342,-0.005646,-0.000769,-0.005646
343,0.010953,0.000949,0.010953
344,-0.004945,-0.00117,-0.004945
345,-0.005181,-0.000823,-0.005181
346,0.010446,0.001989,0.010446
347,-0.005657,-0.000742,-0.005657
348,-0.002374,0.000191,-0.002374
349,0.007207,0.001211,0.007207
350,-0.005821,0.000223,-0.005821
351,-0.000748,-0.001118,-0.000748
352,0.004486,0.000207,0.004486
353,-0.003548,-0.000315,-0.003548
354,0.000241,0.001548,0.000241
355,-0.001444,-6e-06,-0.001444
356,-0.000946,0.000223,-0.000946
357,0.000705,-0.000397,0.000705
358,-0.001102,0.001239,-0.001102
359,0.001823,0.000889,0.001823
360,-0.000685,0.00111,-0.000685
361,-0.000633,-0.001664,-0.000633
362,0.001735,-0.00038,0.001735
363,-0.002002,3.9e-05,-0.002002
364,0.00143,1.2e-05,0.00143
365,-0.000236,-0.001451,-0.000236
366,-0.000298,-0.000808,-0.000298
367,0.002275,0.000812,0.002275
368,-0.001277,0.000369,-0.001277
369,0.000665,-0.000569,0.000665
370,0.001591,0.000338,0.001591
371,-0.001827,-2.7e-05,-0.001827
372,0.000169,-0.000319,0.000169
373,0.00162,-0.000786,0.00162
374,-0.00052,0.000468,-0.00052
375,0.000305,0.000216,0.000305
376,0.000668,-0.000242,0.000668
377,-0.00054,-0.000281,-0.00054
378,-0.000707,0.000858,-0.000707
379,0.001456,-5.9e-05,0.001456
380,-0.000238,0.000224,-0.000238
381,-0.001037,-0.000583,-0.001037
382,-0.000464,0.00215,-0.000464
383,0.001376,0.000137,0.001376
384,-0.002546,-0.000182,-0.002546
385,0.000106,0.000672,0.000106
386,0.001555,0.001801,0.001555
387,-0.002364,-0.00076,-0.002364
388,0.001086,-0.001356,0.001086
389,0.000573,0.000525,0.000573
390,-0.001458,-0.000391,-0.001458
391,0.000153,3e-05,0.000153
392,3.9e-05,-0.000362,3.9e-05
393,-0.000653,0.000526,-0.000653
394,-0.001683,0.001265,-0.001683
395,0.001463,0.001577,0.001463
396,0.00134,-0.000635,0.00134
397,-0.00162,-0.000655,-0.00162
398,0.002439,0.000104,0.002439
399,-0.001061,0.000917,-0.001061
400,-0.001811,0.000303,-0.001811
401,0.003443,-0.000472,0.003443
402,-0.001854,-0.000698,-0.001854
403,-0.000402,0.001419,-0.000402
404,0.00239,0.000339,0.00239
405,-0.001125,-0.000807,-0.001125
406,6e-05,0.000421,6e-05
407,0.00021,0.000131,0.00021
408,-0.000124,0.001717,-0.000124
409,-0.001012,0.000504,-0.001012
410,-0.000744,-0.000575,-0.000744
411,0.001411,-0.000218,0.001411
412,0.001633,-1.7e-05,0.001633
413,-0.002503,0.000236,-0.002503
414,0.001452,0.000369,0.001452
415,-0.000597,0.000848,-0.000597
416,-0.001067,0.00117,-0.001067
417,0.000311,-1.7e-05,0.000311
418,0.001608,0.000683,0.001608
419,-0.002343,0.000366,-0.002343
420,0.00121,-0.000515,0.00121
421,0.001291,0.001016,0.001291
422,-0.002154,0.000615,-0.002154
423,-0.000406,-5e-05,-0.000406
424,0.003317,0.000175,0.003317
425,-0.002833,-0.00019,-0.002833
426,-0.001397,0.00044,-0.001397
427,0.003736,0.001281,0.003736
428,-0.003575,-0.00142,-0.003575
429,0.000966,0.000924,0.000966
430,0.003284,-5.2e-05,0.003284
431,-0.001768,0.000232,-0.001768
432,-0.002442,-0.000939,-0.002442
433,0.005293,-0.000143,0.005293
434,-0.002957,-0.00016,-0.002957
435,-0.003481,-0.000414,-0.003481
436,0.004019,0.000443,0.004019
437,-0.000583,0.000492,-0.000583
438,-0.002164,-1.7e-05,-0.002164
439,0.002338,-0.000379,0.002338
440,0.001647,-0.000649,0.001647
441,-0.003268,-0.000502,-0.003268
442,0.002928,-0.000457,0.002928
443,0.000264,-0.000808,0.000264
444,-0.001177,-3e-05,-0.001177
445,-0.001384,0.000114,-0.001384
446,0.0028,-0.000592,0.0028
447,-0.002942,-0.000936,-0.002942
448,0.000557,-0.000767,0.000557
449,0.002351,0.00022,0.002351
450,0.000817,-0.00034,0.000817
451,-0.002854,-0.00039,-0.002854
452,0.001705,0.001152,0.001705
453,0.000465,0.000765,0.000465
454,0.000832,0.001153,0.000832
455,-0.000533,-4.7e-05,-0.000533
456,0.001325,0.000616,0.001325
457,0.000242,0.00103,0.000242
458,-0.001742,0.000555,-0.001742
459,0.001537,0.000248,0.001537
460,-0.000258,0.000199,-0.000258
461,-0.000134,0.00012,-0.000134
462,0.00071,0.001031,0.00071
463,0.002384,0.001696,0.002384
464,-0.002848,0.000173,-0.002848
465,0.001358,0.001135,0.001358
466,0.000873,-0.001251,0.000873
467,-0.001527,-0.001239,-0.001527
468,0.000165,-0.001511,0.000165
469,1.4e-05,-0.000599,1.4e-05
470,-0.001744,-0.001019,-0.001744
471,-0.000173,-0.000687,-0.000173
472,0.002428,-0.000889,0.002428
473,-0.002286,-0.000739,-0.002286
474,0.001155,0.00098,0.001155
475,0.001267,-0.000181,0.001267
476,-0.002556,-0.001915,-0.002556
477,-0.000871,-0.001358,-0.000871
478,0.001183,0.000714,0.001183
479,-0.002809,-0.001815,-0.002809
480,0.002405,-0.000123,0.002405
481,0.000187,-0.000535,0.000187
482,-0.001386,-0.00097,-0.001386
483,0.001095,-0.001363,0.001095
484,-4.6e-05,0.000206,-4.6e-05
485,-0.0001,-0.001445,-0.0001
486,0.000596,-0.000401,0.000596
487,0.000356,0.000618,0.000356
488,-0.000291,0.000711,-0.000291
489,0.000435,0.000309,0.000435
490,-0.001229,-9.1e-05,-0.001229
491,0.002339,0.000907,0.002339
492,-0.001875,0.000254,-0.001875
493,-0.000447,-0.000189,-0.000447
494,0.001085,0.000309,0.001085
495,-0.000978,0.00013,-0.000978
496,-0.000799,-0.000586,-0.000799
497,0.002043,0.000379,0.002043
498,-0.000551,4.7e-05,-0.000551
499,-0.003471,-0.000941,-0.003471
500,0.002448,-0.000307,0.002448
501,-0.000159,0.000584,-0.000159
502,-0.002144,0.000564,-0.002144
503,0.000848,0.000462,0.000848
504,0.001049,-0.000417,0.001049
505,-0.002931,0.000747,-0.002931
506,0.001402,-0.000291,0.001402
507,0.001026,-0.000291,0.001026
508,-0.002593,-0.000872,-0.002593
509,0.001674,-0.000702,0.001674
510,0.001541,-0.000588,0.001541
511,-0.001495,-0.000636,-0.001495
512,-0.00142,-0.001347,-0.00142
513,0.002132,1e-06,0.002132
514,-0.002783,9.9e-05,-0.002783
515,0.000447,0.000628,0.000447
516,0.002854,-0.001047,0.002854
517,-0.001966,-0.000815,-0.001966
518,-0.001494,1.7e-05,-0.001494
519,0.004749,-0.000105,0.004749
520,-0.00582,-0.001028,-0.00582
521,0.002708,0.000965,0.002708
522,0.003214,6e-05,0.003214
523,-0.005378,-0.000854,-0.005378
524,0.003378,0.000563,0.003378
525,0.002948,0.002065,0.002948
526,-0.007931,-0.000146,-0.007931
527,0.007867,0.000975,0.007867
528,-0.002151,0.000258,-0.002151
529,-0.004959,8.8e-05,-0.004959
530,0.009641,0.001701,0.009641
531,-0.00405,-0.000205,-0.00405
532,-0.004319,0.000567,-0.004319
533,0.009501,0.001116,0.009501
534,-0.00795,-0.001524,-0.00795
535,0.000273,-9.6e-05,0.000273
536,0.00625,0.00074,0.00625
537,-0.006842,-0.000522,-0.006842
538,0.001416,0.00019,0.001416
539,0.005722,0.000299,0.005722
540,-0.006463,-0.001435,-0.006463
541,0.003263,0.002011,0.003263
542,0.000908,-0.000151,0.000908
543,-0.003308,-0.000648,-0.003308
544,0.002619,0.000293,0.002619
545,0.002164,-0.00079,0.002164
546,-0.002522,-0.00048,-0.002522
547,0.003044,-0.000507,0.003044
548,0.000496,-0.000212,0.000496
549,-0.002401,-0.000696,-0.002401
550,0.000856,-0.000598,0.000856
551,0.000308,-0.00089,0.000308
552,-0.001894,0.000514,-0.001894
553,0.000567,8.9e-05,0.000567
554,0.000877,-0.0004,0.000877
555,-0.000681,-0.000483,-0.000681
556,0.0012,0.000273,0.0012
557,0.001583,0.000988,0.001583
558,-0.00203,-0.000352,-0.00203
559,0.000511,-0.001407,0.000511
560,0.001891,-0.001147,0.001891
561,-0.001648,-0.000918,-0.001648
562,0.000731,-0.001111,0.000731
563,0.000621,-0.00089,0.000621
564,-0.001823,-0.00084,-0.001823
565,0.000894,-0.00029,0.000894
566,9.2e-05,0.00014,9.2e-05
567,-0.000946,0.000542,-0.000946
568,0.002053,-0.001041,0.002053
569,0.000486,-0.001052,0.000486
570,-0.000486,-0.001284,-0.000486
571,0.002373,0.001496,0.002373
572,-0.001784,-0.001487,-0.001784
573,0.001024,-0.000305,0.001024
574,0.000772,-0.000547,0.000772
575,0.000241,0.000761,0.000241
576,-0.00115,-0.000999,-0.00115
577,0.001365,0.000786,0.001365
578,-0.000372,-0.000803,-0.000372
579,-0.001189,0.000208,-0.001189
580,-0.000158,-0.000308,-0.000158
581,-0.000615,0.000871,-0.000615
582,0.000615,9.4e-05,0.000615
583,0.000756,-0.000569,0.000756
584,0.000256,0.000479,0.000256
585,0.001147,-8.7e-05,0.001147
586,-0.000141,9.6e-05,-0.000141
587,-0.00067,0.000302,-0.00067
588,0.002017,0.000843,0.002017
589,-0.002188,-1e-06,-0.002188
590,0.000596,0.000768,0.000596
