Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675460820.2822475,98,214701,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.9 M,1.100000023841858,326413.125,4686143.0,214701.0,19,T
1675460821.2831974,99,214702,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.9 M,1.100000023841858,326413.125,4686143.0,214702.0,19,T
1675460822.2821503,100,214703,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.8 M,1.100000023841858,326413.125,4686143.0,214703.0,19,T
1675460823.281854,101,214704,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.8 M,1.100000023841858,326413.125,4686143.0,214704.0,19,T
1675460824.2820587,102,214705,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.8 M,1.100000023841858,326413.125,4686143.0,214705.0,19,T
1675460825.282715,103,214706,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.8 M,1.100000023841858,326413.125,4686143.0,214706.0,19,T
1675460826.2822363,104,214707,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.8 M,1.100000023841858,326413.125,4686143.0,214707.0,19,T
1675460827.2825136,105,214708,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.7 M,1.100000023841858,326413.125,4686143.0,214708.0,19,T
1675460828.2820354,106,214709,0,GPS1_Frame,42.30818557739258,-71.10616302490234,20.7 M,1.100000023841858,326413.125,4686143.0,214709.0,19,T
1675460829.2820225,107,214710,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.6 M,1.100000023841858,326413.125,4686142.5,214710.0,19,T
1675460830.2832756,108,214711,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.5 M,1.100000023841858,326413.125,4686142.5,214711.0,19,T
1675460831.2823114,109,214712,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.5 M,1.100000023841858,326413.125,4686142.5,214712.0,19,T
1675460832.283536,110,214713,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.5 M,1.100000023841858,326413.125,4686142.5,214713.0,19,T
1675460833.2828398,111,214714,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.5 M,1.100000023841858,326413.125,4686142.5,214714.0,19,T
1675460834.2819188,112,214715,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.5 M,1.100000023841858,326413.125,4686142.5,214715.0,19,T
1675460835.2820117,113,214716,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214716.0,19,T
1675460836.282857,114,214717,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214717.0,19,T
1675460837.2828581,115,214718,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214718.0,19,T
1675460838.2827477,116,214719,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214719.0,19,T
1675460839.2829463,117,214720,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214720.0,19,T
1675460840.2826443,118,214721,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214721.0,19,T
1675460841.2828236,119,214722,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214722.0,19,T
1675460842.2825177,120,214723,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214723.0,19,T
1675460843.2822874,121,214724,0,GPS1_Frame,42.30818176269531,-71.10616302490234,19.1 M,1.100000023841858,326413.0,4686142.0,214724.0,19,T
1675460844.282678,122,214725,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214725.0,19,T
1675460845.2836225,123,214726,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214726.0,19,T
1675460846.2824943,124,214727,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214727.0,19,T
1675460847.282017,125,214728,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214728.0,19,T
1675460848.2843108,126,214729,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214729.0,19,T
1675460849.2836065,127,214730,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214730.0,19,T
1675460850.3025954,128,214731,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214731.0,19,T
1675460851.2833865,129,214732,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214732.0,19,T
1675460852.28393,130,214733,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214733.0,19,T
1675460853.2841837,131,214734,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.84375,4686141.5,214734.0,19,T
1675460854.2835617,132,214735,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214735.0,19,T
1675460855.283502,133,214736,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214736.0,19,T
1675460856.2851243,134,214737,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214737.0,19,T
1675460857.2854714,135,214738,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214738.0,19,T
1675460858.2833617,136,214739,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214739.0,19,T
1675460859.2832959,137,214740,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214740.0,19,T
1675460860.2839215,138,214741,0,GPS1_Frame,42.30817794799805,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214741.0,19,T
1675460861.2838426,139,214742,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214742.0,19,T
1675460862.2851875,140,214743,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214743.0,19,T
1675460863.2836282,141,214744,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214744.0,19,T
1675460864.2835999,142,214745,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214745.0,19,T
1675460865.283847,143,214746,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214746.0,19,T
1675460866.283725,144,214747,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214747.0,19,T
1675460867.2834857,145,214748,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214748.0,19,T
1675460868.2843473,146,214749,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214749.0,19,T
1675460869.2847905,147,214750,0,GPS1_Frame,42.30817413330078,-71.10616302490234,19.2 M,1.100000023841858,326412.6875,4686141.5,214750.0,19,T
1675460870.2825048,148,214751,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214751.0,19,T
1675460871.2839272,149,214752,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214752.0,19,T
1675460872.2836497,150,214753,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214753.0,19,T
1675460873.283861,151,214754,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214754.0,19,T
1675460874.2842488,152,214755,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214755.0,19,T
1675460875.284107,153,214756,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214756.0,19,T
1675460876.2836733,154,214757,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214757.0,19,T
1675460877.2841363,155,214758,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.9 M,1.100000023841858,326412.5625,4686141.5,214758.0,19,T
1675460878.2835898,156,214759,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.4 M,1.100000023841858,326412.40625,4686141.5,214759.0,19,T
1675460879.2840333,157,214800,0,GPS1_Frame,42.30817413330078,-71.10617065429688,18.4 M,1.100000023841858,326412.40625,4686141.5,214800.0,19,T
1675460880.2832,158,214801,0,GPS1_Frame,42.30817413330078,-71.10617065429688,17.7 M,1.100000023841858,326412.28125,4686141.5,214801.0,19,T
1675460881.285167,159,214802,0,GPS1_Frame,42.30817413330078,-71.10617065429688,17.7 M,1.100000023841858,326412.28125,4686141.5,214802.0,19,T
1675460882.2831645,160,214803,0,GPS1_Frame,42.30817413330078,-71.10617065429688,17.0 M,1.100000023841858,326412.15625,4686141.5,214803.0,19,T
