Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675377841.3184655,4,224401,0,GPS1_Frame,42.307884216308594,-71.10731506347656,18.7 M,1.2000000476837158,326317.09375,4686111.5,224401.0,19,T
1675377842.318722,5,224402,0,GPS1_Frame,42.30788040161133,-71.10731506347656,18.6 M,1.2000000476837158,326316.96875,4686111.5,224402.0,19,T
1675377843.3196821,6,224403,0,GPS1_Frame,42.30787658691406,-71.1073226928711,18.8 M,1.2000000476837158,326316.53125,4686111.0,224403.0,19,T
1675377844.3215919,7,224404,0,GPS1_Frame,42.3078727722168,-71.10733032226562,18.8 M,1.2000000476837158,326316.125,4686110.0,224404.0,19,T
1675377845.3196242,8,224405,0,GPS1_Frame,42.307865142822266,-71.10733032226562,18.9 M,1.2000000476837158,326315.8125,4686109.5,224405.0,19,T
1675377846.3200595,9,224406,0,GPS1_Frame,42.307861328125,-71.10733795166016,18.9 M,1.2000000476837158,326315.53125,4686109.0,224406.0,19,T
1675377847.3196006,10,224407,0,GPS1_Frame,42.307857513427734,-71.10733795166016,18.9 M,1.2000000476837158,326315.25,4686108.5,224407.0,19,T
1675377848.3191817,11,224408,0,GPS1_Frame,42.3078498840332,-71.10734558105469,19.0 M,1.2000000476837158,326314.8125,4686108.0,224408.0,19,T
1675377849.3209188,12,224409,0,GPS1_Frame,42.30784606933594,-71.10734558105469,19.0 M,1.2000000476837158,326314.53125,4686107.5,224409.0,19,T
1675377850.320065,13,224410,0,GPS1_Frame,42.30784225463867,-71.10735321044922,19.0 M,1.2000000476837158,326314.09375,4686107.0,224410.0,19,T
1675377851.318789,14,224411,0,GPS1_Frame,42.307838439941406,-71.10735321044922,19.0 M,1.2000000476837158,326313.6875,4686106.5,224411.0,19,T
1675377852.319344,15,224412,0,GPS1_Frame,42.307830810546875,-71.10736083984375,19.1 M,1.2000000476837158,326313.125,4686106.0,224412.0,19,T
